Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Практический опыт показывает, ; Петрова Дарина Семёновна; 4,73; 9,9; 3,85; 55; 02.02.2006; 7,11; Литвинов Тимур Ярославович; Повседневная практика показыва; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 2,84; 3,06; 7,15; 99; 01.11.2019; 8,4; Михайлова Мира Артёмовна; Разнообразный и богатый опыт р; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 3,9; 7,95; 4,72; 10; 23.09.1987; 9,9; Фролова Ольга Никитична; Соображения высшего порядка, а; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,12; 9,69; 5,25; 90; 15.04.1986; 4,22; Петрова Дарина Семёновна; Дорогие друзья, постоянный кол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,12; 9,16; 7,9; 14; 05.09.1999; 5,99; Захарова Кристина Адамовна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,16; 5,66; 5,5; 21; 11.05.1990; 2,84; Петрова Дарина Семёновна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,14; 8,19; 2,42; 53; 02.02.2006; 4,51; Селезнев Георгий Артёмович; Равным образом дальнейшее разв; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,04; 2,84; 4,72; 27; 30.09.2002; 1,18; Максимова Вероника Михайловна; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 4,98; 6,6; 3,9; 52; 03.12.1982; 8,85; Литвинов Тимур Ярославович; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,28; 8,84; 6,28; 10; 03.12.1982; 2,42; Зайцев Александр Романович; Разнообразный и богатый опыт н; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 0,03; 5,99; 0,06; 90; 02.02.2006; 4,61; Мещерякова Агния Кирилловна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 3,9; 4,73; 7,95; 52; 29.10.1987; 3,85; Гусев Роман Александрович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,02; 0,54; 5,5; 40; 04.07.1999; 0,54; Сидорова Екатерина Ивановна; Таким образом, постоянное инфо; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,28; 1,02; 8,88; 56; 12.12.2004; 9,0; Селезнев Георгий Артёмович; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,61; 5,25; 4,29; 14; 27.05.1999; 0,4; Ушакова Ксения Кирилловна; Равным образом дальнейшее разв; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,14; 1,13; 6,27; 43; 20.11.1971; 5,96; Алексеева Виктория Максимовна; Соображения высшего порядка, а; 
